"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"quotes_v1","nonrag","claude","v","quotable__quotes_api","1","98","Quotable - Random Quotes API","https://github.com/lukePeavey/quotable","https://api.quotable.io","0.25","False","0","False","True","False","False","2025-10-28T22:59:36Z","0.075","True","False","False","0","False","True","OPTIONS","ERR","0",
"quotes_v1","nonrag","claude","v","zenquotes__api","2","95.5","ZenQuotes.io API","https://zenquotes.io/api","https://zenquotes.io","0.25","False","0.48","False","True","False","False","2025-10-28T22:59:39Z","0.291","True","False","False","0","False","False","GET","429","95","-1"
"quotes_v1","nonrag","claude","v","api_ninjas__quotes","3","93","API Ninjas Quotes API","https://api-ninjas.com/api/quotes","https://api.api-ninjas.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:59:33Z","0.363","True","False","False","0","False","False","GET","400","53","29"
"quotes_v1","nonrag","claude","v","quotegarden__api","4","90.5","The Quotable API (formerly theysaidso)","https://theysaidso.com/api/","https://quotes.rest","0.25","False","0.64","False","True","False","False","2025-10-28T22:59:37Z","0.363","True","False","False","0","False","False","GET","401","100","-1"
"quotes_v1","nonrag","claude","v","favqs__api","5","87","FavQs Quote API","https://favqs.com/api","https://favqs.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","0","False","False","GET","200","114","345"
"quotes_v1","nonrag","claude","v","quotable_dev__quotes","6","84.5","They Said So Quotes API","https://theysaidso.com/api/","https://api.theysaidso.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","0","False","False","GET","404","119","-1"
"quotes_v1","nonrag","claude","v","type_fit__quotes","7","81","Type.fit Quotes API","https://type.fit/api/quotes","https://type.fit","0.25","False","0.48","False","True","False","False","2025-10-28T22:59:39Z","0.291","True","False","False","0","False","False","GET","404","200","4511"
"quotes_v1","nonrag","claude","v","programming_quotes__api","8","77.5","Programming Quotes API","https://github.com/skolakoda/programming-quotes-api","https://programming-quotes-api.herokuapp.com","0.25","False","0.6","False","True","False","False","2025-10-28T22:59:36Z","0.345","True","False","False","0","False","True","GET","404","282","548"
"quotes_v1","nonrag","claude","v","quotable_quotes__rest","9","74","Forismatic Quote API","https://forismatic.com/en/api/","https://api.forismatic.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:36Z","0.435","True","False","False","0","False","False","GET","200","183","199"
"quotes_v1","nonrag","claude","v","quoter__random_api","10","70.5","Quoters REST API","https://github.com/martin-holland/unleash-quotes","https://uqapi.herokuapp.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","0","False","False","GET","404","544","548"
"quotes_v1","nonrag","deepseek","v","quotable__random","1","100","Quotable Random Quotes API","https://github.com/lukePeavey/quotable","https://api.quotable.io","0.25","False","0","False","True","False","False","2025-10-28T22:59:36Z","0.075","True","False","False","0","False","True","OPTIONS","ERR","0",
"quotes_v1","nonrag","deepseek","v","they_said_so__quotes","2","99.5","They Said So Quotes API","https://theysaidso.com/api/","https://quotes.rest","0.25","False","0.64","False","True","False","False","2025-10-28T22:59:38Z","0.363","True","False","False","0","False","False","GET","401","114","-1"
"quotes_v1","nonrag","deepseek","v","stoic_quotes__api","3","99","Stoic Quotes API","https://github.com/benjamin-sommer/stoic-quote-api","https://stoic-quotes.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:38Z","0.435","True","False","False","0","False","False","GET","200","103","1494"
"quotes_v1","nonrag","deepseek","v","quotes_on_design__api","4","98.5","Quotes on Design API","https://quotesondesign.com/api/","https://quotesondesign.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:37Z","0.435","True","False","False","0","False","False","GET","200","29","23047"
"quotes_v1","nonrag","deepseek","v","programming_quotes__api","5","98","Programming Quotes API","https://programming-quotes-api.herokuapp.com/","https://programming-quotes-api.herokuapp.com","0.25","False","0.6","False","True","False","False","2025-10-28T22:59:36Z","0.345","True","False","False","0","False","True","GET","404","303","548"
"quotes_v1","nonrag","deepseek","v","favqs__quotes","6","97.5","FavQs Quotes API","https://favqs.com/api/","https://favqs.com/api","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","0","False","False","GET","200","111","289"
"quotes_v1","nonrag","deepseek","v","forismatic__quotes","7","97","Forismatic Quotes API","https://forismatic.com/en/api/","https://api.forismatic.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","0","False","False","GET","200","192","20"
"quotes_v1","nonrag","deepseek","v","taylor_rest__quotes","8","96.5","Taylor REST Quotes API","https://github.com/pprathameshmore/taylor-rest","https://taylor.rest","0.25","False","0.48","False","True","False","False","2025-10-28T22:59:38Z","0.291","True","False","False","0","False","False","OPTIONS","ERR","0",
