"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"sentiment_v1","nonrag","claude","t","google-cloud-nlp","1","98.5","Google Cloud Natural Language API","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:33Z","0.345","True","False","False","False","True","0","GET","404","71","0"
"sentiment_v1","nonrag","claude","t","aws-comprehend","2","97","AWS Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","404","97","29"
"sentiment_v1","nonrag","claude","t","azure-text-analytics","3","96.5","Azure AI Language - Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/how-to/call-api","https://<your-resource>.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","t","meaningcloud","4","94","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis/doc/2.1","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","t","ibm-watson-nlu","5","92","IBM Watson Natural Language Understanding","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","99","164"
"sentiment_v1","nonrag","claude","t","paralleldots","6","89.5","ParallelDots Sentiment Analysis API","https://www.paralleldots.com/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","405","83","-1"
"sentiment_v1","nonrag","claude","t","aylien","7","87","AYLIEN Text Analysis API","https://docs.aylien.com/textapi/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","117","288"
"sentiment_v1","nonrag","claude","t","twinword","8","85","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","44","-1"
"sentiment_v1","nonrag","claude","t","deepai-sentiment","9","82.5","DeepAI Sentiment Analysis API","https://deepai.org/machine-learning-model/sentiment-analysis","https://api.deepai.org","False","0.25","0.64","False","True","False","False","2025-10-28T23:27:33Z","0.363","True","False","False","False","False","0","GET","401","32","65"
"sentiment_v1","nonrag","claude","t","monkey-learn","10","79","MonkeyLearn Sentiment Analysis API","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","deepseek","t","huggingface-sentiment","1","99.5","Hugging Face Inference API - Sentiment Analysis","https://huggingface.co/docs/api-inference/detailed_parameters#sentiment-analysis-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","104","22447"
"sentiment_v1","nonrag","deepseek","t","meaningcloud-sentiment","2","98.2","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/doc","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","deepseek","t","monkeylearn-sentiment","3","97.8","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
